country_name,iso3,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,cthi_2019_score,cthi_2021_score,cthi_2019_rank,cthi_2021_rank,cthi_2019_share,cthi_2021_share,sotj20_loss_corp_musd,sotj21_loss_corp_musd,sotj23_loss_corp_musd,sotj20_loss_total_share_healthexpenses,sotj21_loss_total_share_healthexpenses,sotj23_loss_total_musd,sotj23_loss_total_share_healthexpenses
Aruba,ABW,124.9300921,113.3252,99.5278,148.0466,76.65347324,159.364604258608,64.38666499360001,70.13456512076104,54,56,0.0024131033697343,0.002126485232601,6.785062503366633,0.00000575,1.0,,,22.35667419433594,0.1133399524913156
Afghanistan,AFG,,,,,,,,,,,,,0.5978402348289609,0.000048800000732,0.0,0.0304744958545944,0.5270841428008801,2.024689197540283,0.022619454504613
Angola,AGO,,,,,345.4517203,335.726662488047,,,,,,,2050.8,0.000180300007212,126.0000050067902,1.465188053112189,0.2418405875434759,309.810765504837,0.3726202883265818
Anguilla,AIA,36.04731967,96.76443,89.38037,195.0371,192.9863302,199.868287614495,100,100,35,39,0.00613194409856,0.0057597872833982,0.0,0.0,0.0,,,0.0,
Albania,ALB,,,,,,46.9009190392295,,,,,,,43.486590670273365,0.000044850001794,46.2,0.0780615914559758,0.1307567277955933,49.74406428337097,0.1155022920428188
Andorra,AND,133.6207578,43.37763,27.32231,35.05223,38.8370971,80.0128885228656,69.04854058846666,61.29441797701632,51,62,0.0028754777939249,0.0015139748201028,0.0,0.0,0.0,0.0573703135223096,0.0700685098403452,8.142801284790039,0.0555020456495189
Netherlands Antilles,ANT,129.3691558,,,,,,,,,,,,0.0,,,,,,
United Arab Emirates,ARE,439.5830274,419.0078,440.7632,661.1468,605.1966719,648.452012449766,98.33333333333334,98.33333333333334,12,10,0.0327698547580793,0.0376033631656434,1022.393222509486,0.004089800089232,0.0,0.1041371247857276,0.4267488535304642,0.0,
Argentina,ARG,,,,,109.3707018,82.2489146996438,,32.13101476340773,,68,,0.0008184604914828,2341.815851562876,0.000956899983596,1067.700042426586,0.0859191434839237,0.0380507120287252,1368.790710151196,0.0441292794294764
Armenia,ARM,,,,,,,,,,,,,29.000000435,0.000025400000381,20.8,0.177936066004863,0.1875284493137591,25.08187513351441,0.1627397233014766
American Samoa,ASM,,,,,,30.0633560836334,,,,,,,0.0,0.000001620000066,0.0,,,0.0,
French Southern Territories,ATF,,,,,,,,,,,,,0.0,,,,,,
Antigua and Barbuda,ATG,88.46715871,60.47441,79.55601,54.5297,39.04950099,44.726376927443,,,,,,,0.0,0.0,0.0,,0.034817126972046,2.337651014328003,0.0501227870084597
Australia,AUS,,168.1538,148.0734,244.3583,238.0740006,318.068723355769,,,,,,,2365.613824126147,0.005029800201192,2111.100083887578,0.0487243677156886,0.0783020393324148,3785.47862392664,0.0413315522605551
