economy,series,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
AGO,ID.OWN.1524.ZS,,,,,,,,,,,,,,,,
AGO,ID.OWN.25UP.ZS,,,,,,,,,,,,,,,,
AGO,ID.OWN.BRTH.ZS,,,,,,,,,,,13.2,,,,,
AGO,ID.OWN.TOTL.ZS,,,,,,,,,,,,,,,,
AGO,SP.REG.BRTH.ZS,,,,,,,,,,,25.0,,,,,
BDI,ID.OWN.1524.ZS,,,,,,,,,,,,,,,,
BDI,ID.OWN.25UP.ZS,,,,,,,,,,,,,,,,
BDI,ID.OWN.BRTH.ZS,,,,,,,,,,,,66.2,,,,
BDI,ID.OWN.TOTL.ZS,,,,,,,,,,,,,,,,
BDI,SP.REG.BRTH.ZS,,,,,75.2,,,,,,,83.5,,,,
BEN,ID.OWN.1524.ZS,,,,,,,,,,,,38.35199855,,,,35.01218903
BEN,ID.OWN.25UP.ZS,,,,,,,,,,,,50.03277009,,,,54.05095909
BEN,ID.OWN.BRTH.ZS,,,,,,,,,,,,,63.8,,,
BEN,ID.OWN.TOTL.ZS,,,,,,,,,,,,45.87669061,,,,46.95548173
BEN,SP.REG.BRTH.ZS,53.1,,,,,,80.2,,85.0,,,,85.6,,,
BFA,ID.OWN.1524.ZS,,,,,,,,,,,,68.81041437,,,,64.42709036
BFA,ID.OWN.25UP.ZS,,,,,,,,,,,,87.42896586,,,,92.71413066
BFA,ID.OWN.BRTH.ZS,,,,,52.3,,,,,,,,,,,
BFA,ID.OWN.TOTL.ZS,,,,,,,,,,,,80.77183136,,,,83.14520514
BFA,SP.REG.BRTH.ZS,64.0,,,,76.9,,,,,,,,,,,
BWA,ID.OWN.1524.ZS,,,,,,,,,,,,92.86407226,,,,
BWA,ID.OWN.25UP.ZS,,,,,,,,,,,,98.44537123,,,,
BWA,ID.OWN.BRTH.ZS,,,,,,,,,,,,87.5,,,,
BWA,ID.OWN.TOTL.ZS,,,,,,,,,,,,96.84307412,,,,
BWA,SP.REG.BRTH.ZS,,72.0,72.2,,,,,,83.2,,,87.5,,,,
CAF,ID.OWN.1524.ZS,,,,,,,,,,,,,,,,
CAF,ID.OWN.25UP.ZS,,,,,,,,,,,,,,,,
CAF,ID.OWN.BRTH.ZS,,,,,,,,,,,,,,31.8,,
CAF,ID.OWN.TOTL.ZS,,,,,,,,,,,,,,,,
CAF,SP.REG.BRTH.ZS,49.0,,,,61.0,,,,,,,,,44.8,,
CIV,ID.OWN.1524.ZS,,,,,,,,,,,,37.52012807,,,,45.56359773
CIV,ID.OWN.25UP.ZS,,,,,,,,,,,,83.15884659,,,,84.17921512
CIV,ID.OWN.BRTH.ZS,,,,,,,,,,,59.5,,,,,
CIV,ID.OWN.TOTL.ZS,,,,,,,,,,,,68.00436596,,,,71.75127269
CIV,SP.REG.BRTH.ZS,55.0,,,,,,65.0,,,,71.7,,,,,
CMR,ID.OWN.1524.ZS,,,,,,,,,,,,57.65523315,,,,59.68272391
CMR,ID.OWN.25UP.ZS,,,,,,,,,,,,94.57339448,,,,91.59825932
CMR,ID.OWN.BRTH.ZS,,,,,,,,,,,,,48.9,,,
CMR,ID.OWN.TOTL.ZS,,,,,,,,,,,,85.28723385,,,,82.76942144
CMR,SP.REG.BRTH.ZS,70.0,,,,,61.4,,,66.1,,,,61.9,,,
COD,ID.OWN.1524.ZS,,,,,,,,,,,,,,,,
COD,ID.OWN.25UP.ZS,,,,,,,,,,,,,,,,
COD,ID.OWN.BRTH.ZS,,,,,,,,,,,,,35.4,,,
COD,ID.OWN.TOTL.ZS,,,,,,,,,,,,,,,,
COD,SP.REG.BRTH.ZS,,31.3,,,27.8,,,,24.6,,,,40.1,,,
COG,ID.OWN.1524.ZS,,,,,,,,,,,,38.67169993,,,,41.18588623
COG,ID.OWN.25UP.ZS,,,,,,,,,,,,68.22493769,,,,71.424881
COG,ID.OWN.BRTH.ZS,,,,,,,,,,87.2,,,,,,
COG,ID.OWN.TOTL.ZS,,,,,,,,,,,,59.79960784,,,,63.17619931
COG,SP.REG.BRTH.ZS,,,,,,,90.8,,,95.9,,,,,,
COM,ID.OWN.1524.ZS,,,,,,,,,,,,,,,,
COM,ID.OWN.25UP.ZS,,,,,,,,,,,,,,,,
COM,ID.OWN.BRTH.ZS,,,,,,,76.4,,,,,,,,,
COM,ID.OWN.TOTL.ZS,,,,,,,,,,,,,,,,
COM,SP.REG.BRTH.ZS,,,,,,,87.3,,,,,,,,,
