economy,series,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
AGO,BN.RES.INCL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,-6000000.0,-259000000.0,-332000000.0,-925000000.0,-930000000.0,-1208893872.46123,-1499886564.91831,-1164720000.0,-1319887600.02276,-1027693498.76679,-1239260538.18843,2761026638.0312,-604263662.691958,-1111973165.08488,-42934074.289079,317847277.511662,-785593379.488084,-770141900.348379,-5756583.66794738,1956693038.62207,1437689164.22983,6973399469.05975,3104979591.13699,7183503715.35803,-5326383283.15636,5558086304.38929,8448917670.1662,3981174408.03166,33091311.4044266,-3430095247.55253,-2693890749.83477,526109716.604449,-4873535654.67814,-1515475183.9383,472055569.285979,-4428395980.51747,-1934334746.49056,875874223.64529
AGO,CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,DT.DOD.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612607986.4,988436108.4,1297672619.4,1928777993.2,1880316458.9,2170673955.3,1957808164.2,1168519201.9,1266688669.9,1684519067.0,1585490036.8,1322915747.5,1451104782.3,1207525379.6,1074445507.7,1196323951.4,2316049837.9,2132485280.1,2269905861.5,2390637402.7,2592563310.2,4567673350.0,6061667120.6,8696153334.4,11341475129.1,7659997207.3,6050528839.7,4403910065.6,3708136673.4,2831731180.0,2583307515.4,5350545275.1,4639324020.6,4192590874.6
AGO,DT.NFL.BOND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000000.0,,,3500000000.0,3000000000.0,0.0,0.0,1114413000.0
AGO,FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17305056414187,2.01496821504011,4.35011884491608,7.97676918024597,10.1905320738466,10.6112339715733,11.2850858065096,25.8360610272673,23.2217366851526,23.145468821214,12.2238112230323,14.9960876543918,
AGO,FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25423745220691,9.44019549527723,9.55151655888075,10.2249569689872,8.91289884359989,9.44007218414204,10.8283059553168,12.3645924301501,14.1831450300624,9.87031380207947,8.96927105568948,10.0259673385746,
AGO,FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0002906144722,19.7141082996595,23.617149321598,28.4294139710604,41.7926011510541,36.4548984120707,47.7645721696662,37.0652506395064,37.4477410916688,48.5561271657791,38.5106022805566,32.960179353263,32.0352947582446,35.2461612501595,34.2831586004862,31.2028619309189,32.1395553943672,28.206366031525,32.0452547863354,35.0711926202229,55.626743035886,72.6458459410328
AGO,FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.25,217.875,37.75,45.0,80.2966666666667,103.160174166667,95.9665608333333,97.3358333333333,96.115,82.3341666666667,67.7181307369684,19.5108144527911,17.6988356005955,12.533605759663,15.682074235437,22.5435720221269,18.7572405365757,16.6564013212232,15.8086382955866,16.3822709411366,16.8818623998822,15.7805039391116,15.8061003813255,20.6770040277157,19.295367205655,19.6558949254322,19.4031546297083,20.1172113762759
AGO,FS.AST.PRVT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0455381269728,19.9900067519053,16.1990902188028,14.0217797123094,14.4174469530433,12.7306723194677,9.56572608905192,7.77291437742541
AGO,GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2939716615223,28.7033821587261,29.2466757235017,15.5328118307446,17.1715803572772,18.0745701171648,17.1091178120826,23.385169992983,21.499160563566,25.6501498565559,18.3610792311247,16.599947206125,16.1034124367128,14.8227191113256,14.184762657139,13.5426301621262,11.0020190179303,9.73251248352788,9.223777502108,9.64477850341357,10.090385804431,,,
