year,value,iso3,indicator description,indicator code
2021,0.0,ALB,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,0.0,ALB,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,162092689.83995202,DZA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,688363149.27587,DZA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,717287379.0571406,DZA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,0.0,AND,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,42955.74288724974,AND,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,3168834.430813731,ARM,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,14491413.605688574,ARM,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,3516702.970777309,ARM,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,403766304.93093926,AUS,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,215852114.9736644,AUS,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,121189.1515994437,AUS,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,55900054.08180778,AUT,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,55651599.93772242,AUT,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,35965691.082718655,AUT,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,0.0,AZE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,0.0,AZE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,0.0,AZE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,283213006.444,BGD,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,646935038.145,BGD,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
