iso3,year,value,indicator description,indicator code
AGO,1996,1.216514049997347,WDI-calculated corruption score share of 148,CC.EST calculated
BDI,1996,2.4505527915000496,WDI-calculated corruption score share of 148,CC.EST calculated
BEN,1996,2.786306949496815,WDI-calculated corruption score share of 148,CC.EST calculated
BFA,1996,4.4575635141690535,WDI-calculated corruption score share of 148,CC.EST calculated
BWA,1996,6.2474137388315825,WDI-calculated corruption score share of 148,CC.EST calculated
CAF,1996,1.2843403416743,WDI-calculated corruption score share of 148,CC.EST calculated
CIV,1996,3.514842169519901,WDI-calculated corruption score share of 148,CC.EST calculated
CMR,1996,0.7926839934095585,WDI-calculated corruption score share of 148,CC.EST calculated
COD,1996,0.0,WDI-calculated corruption score share of 148,CC.EST calculated
COG,1996,1.9942354730955711,WDI-calculated corruption score share of 148,CC.EST calculated
COM,1996,1.645041127420781,WDI-calculated corruption score share of 148,CC.EST calculated
CPV,1996,7.0717906549395515,WDI-calculated corruption score share of 148,CC.EST calculated
DJI,1996,2.3508642892631664,WDI-calculated corruption score share of 148,CC.EST calculated
DZA,1996,2.7391158061348806,WDI-calculated corruption score share of 148,CC.EST calculated
EGY,1996,2.978508021228819,WDI-calculated corruption score share of 148,CC.EST calculated
ERI,1996,5.456227663618624,WDI-calculated corruption score share of 148,CC.EST calculated
ETH,1996,1.817374962323767,WDI-calculated corruption score share of 148,CC.EST calculated
GAB,1996,1.3820220050247678,WDI-calculated corruption score share of 148,CC.EST calculated
GHA,1996,3.3137171659408287,WDI-calculated corruption score share of 148,CC.EST calculated
GIN,1996,1.7935703103178484,WDI-calculated corruption score share of 148,CC.EST calculated
GMB,1996,3.2269519268949307,WDI-calculated corruption score share of 148,CC.EST calculated
GNB,1996,1.148225652293426,WDI-calculated corruption score share of 148,CC.EST calculated
GNQ,1996,0.9715960435200764,WDI-calculated corruption score share of 148,CC.EST calculated
KEN,1996,1.2389425019301412,WDI-calculated corruption score share of 148,CC.EST calculated
LBR,1996,0.3742418514722168,WDI-calculated corruption score share of 148,CC.EST calculated
LBY,1996,1.9658672975507125,WDI-calculated corruption score share of 148,CC.EST calculated
LSO,1996,4.394288702581482,WDI-calculated corruption score share of 148,CC.EST calculated
MAR,1996,3.904105902460999,WDI-calculated corruption score share of 148,CC.EST calculated
MDG,1996,3.234809466026485,WDI-calculated corruption score share of 148,CC.EST calculated
MLI,1996,2.1923095197913174,WDI-calculated corruption score share of 148,CC.EST calculated
MOZ,1996,3.10075801965003,WDI-calculated corruption score share of 148,CC.EST calculated
MRT,1996,2.7671040278353365,WDI-calculated corruption score share of 148,CC.EST calculated
MUS,1996,4.262837801288655,WDI-calculated corruption score share of 148,CC.EST calculated
MWI,1996,3.374236141789915,WDI-calculated corruption score share of 148,CC.EST calculated
NAM,1996,6.2241350722151925,WDI-calculated corruption score share of 148,CC.EST calculated
NER,1996,1.9819479832292775,WDI-calculated corruption score share of 148,CC.EST calculated
NGA,1996,1.1625310051441673,WDI-calculated corruption score share of 148,CC.EST calculated
RWA,1996,2.2871218973533667,WDI-calculated corruption score share of 148,CC.EST calculated
SDN,1996,1.0333222336108685,WDI-calculated corruption score share of 148,CC.EST calculated
SEN,1996,3.8134337532765796,WDI-calculated corruption score share of 148,CC.EST calculated
SLE,1996,2.2584048770626546,WDI-calculated corruption score share of 148,CC.EST calculated
SOM,1996,0.9476211975623982,WDI-calculated corruption score share of 148,CC.EST calculated
SSD,1996,,WDI-calculated corruption score share of 148,CC.EST calculated
STP,1996,5.1926861801940785,WDI-calculated corruption score share of 148,CC.EST calculated
SWZ,1996,4.269556828583936,WDI-calculated corruption score share of 148,CC.EST calculated
SYC,1996,5.558246780990903,WDI-calculated corruption score share of 148,CC.EST calculated
TCD,1996,0.6775588846460867,WDI-calculated corruption score share of 148,CC.EST calculated
TGO,1996,2.04014329063488,WDI-calculated corruption score share of 148,CC.EST calculated
TUN,1996,2.822884151682308,WDI-calculated corruption score share of 148,CC.EST calculated
TZA,1996,2.3944901185104435,WDI-calculated corruption score share of 148,CC.EST calculated
UGA,1996,2.341297788414532,WDI-calculated corruption score share of 148,CC.EST calculated
ZAF,1996,6.031970999168357,WDI-calculated corruption score share of 148,CC.EST calculated
ZMB,1996,2.0451601613283894,WDI-calculated corruption score share of 148,CC.EST calculated
ZWE,1996,3.4685269133986383,WDI-calculated corruption score share of 148,CC.EST calculated
AGO,1998,1.023894133013214,WDI-calculated corruption score share of 148,CC.EST calculated
BDI,1998,2.4579383691055345,WDI-calculated corruption score share of 148,CC.EST calculated
BEN,1998,2.5509243417716587,WDI-calculated corruption score share of 148,CC.EST calculated
BFA,1998,4.693225339523329,WDI-calculated corruption score share of 148,CC.EST calculated
BWA,1998,6.788714210264647,WDI-calculated corruption score share of 148,CC.EST calculated
CAF,1998,1.1900059985606468,WDI-calculated corruption score share of 148,CC.EST calculated
CIV,1998,2.98910629136043,WDI-calculated corruption score share of 148,CC.EST calculated
CMR,1998,0.6419108513541989,WDI-calculated corruption score share of 148,CC.EST calculated
COD,1998,0.344604401172019,WDI-calculated corruption score share of 148,CC.EST calculated
COG,1998,0.9711389107210023,WDI-calculated corruption score share of 148,CC.EST calculated
COM,1998,1.6284507850069045,WDI-calculated corruption score share of 148,CC.EST calculated
CPV,1998,7.739813074653495,WDI-calculated corruption score share of 148,CC.EST calculated
DJI,1998,2.456268622339589,WDI-calculated corruption score share of 148,CC.EST calculated
DZA,1998,1.7824707839365546,WDI-calculated corruption score share of 148,CC.EST calculated
EGY,1998,3.044206392066188,WDI-calculated corruption score share of 148,CC.EST calculated
ERI,1998,5.90398563736319,WDI-calculated corruption score share of 148,CC.EST calculated
ETH,1998,1.8211341113814528,WDI-calculated corruption score share of 148,CC.EST calculated
