economy,year,value,indicator description,indicator code
AGO,2005,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2005,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2005,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2005,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2005,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2005,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2005,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2005,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2005,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2005,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2005,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2005,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2005,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2005,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2005,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2005,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2005,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2005,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2005,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2005,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2005,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2005,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2005,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2005,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2005,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2005,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2005,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2005,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2005,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2005,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2005,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2005,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2005,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2005,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2005,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2005,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2005,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2005,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2005,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2005,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2005,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2006,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2006,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2006,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2006,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2006,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2006,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2006,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2006,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2006,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2006,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2006,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2006,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2006,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2006,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2006,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2006,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
