Country,iso3,year,value,indicator code,indicator description
Aruba,ABW,2011,124.9300921,FSI,Financial Secrecy Index
Afghanistan,AFG,2011,,FSI,Financial Secrecy Index
Angola,AGO,2011,,FSI,Financial Secrecy Index
Anguilla,AIA,2011,36.04731967,FSI,Financial Secrecy Index
Albania,ALB,2011,,FSI,Financial Secrecy Index
Andorra,AND,2011,133.6207578,FSI,Financial Secrecy Index
Netherlands Antilles,ANT,2011,129.3691558,FSI,Financial Secrecy Index
United Arab Emirates,ARE,2011,439.5830274,FSI,Financial Secrecy Index
Argentina,ARG,2011,,FSI,Financial Secrecy Index
Armenia,ARM,2011,,FSI,Financial Secrecy Index
American Samoa,ASM,2011,,FSI,Financial Secrecy Index
French Southern Territories,ATF,2011,,FSI,Financial Secrecy Index
Antigua and Barbuda,ATG,2011,88.46715871,FSI,Financial Secrecy Index
Australia,AUS,2011,,FSI,Financial Secrecy Index
Austria,AUT,2011,453.4871247,FSI,Financial Secrecy Index
Azerbaijan,AZE,2011,,FSI,Financial Secrecy Index
Burundi,BDI,2011,,FSI,Financial Secrecy Index
Belgium,BEL,2011,467.1602626,FSI,Financial Secrecy Index
Benin,BEN,2011,,FSI,Financial Secrecy Index
"Bonaire, Sint Eustatius and Saba",BES,2011,,FSI,Financial Secrecy Index
Burkina Faso,BFA,2011,,FSI,Financial Secrecy Index
Bangladesh,BGD,2011,,FSI,Financial Secrecy Index
Bulgaria,BGR,2011,,FSI,Financial Secrecy Index
Bahrain,BHR,2011,660.3148226,FSI,Financial Secrecy Index
Bahamas,BHS,2011,431.110463,FSI,Financial Secrecy Index
Bosnia and Herzegovina,BIH,2011,,FSI,Financial Secrecy Index
Belarus,BLR,2011,,FSI,Financial Secrecy Index
Belize,BLZ,2011,198.3999755,FSI,Financial Secrecy Index
Bermuda,BMU,2011,539.8775265,FSI,Financial Secrecy Index
Bolivia,BOL,2011,,FSI,Financial Secrecy Index
Brazil,BRA,2011,,FSI,Financial Secrecy Index
Barbados,BRB,2011,266.5653179,FSI,Financial Secrecy Index
Brunei,BRN,2011,45.79904958,FSI,Financial Secrecy Index
Bhutan,BTN,2011,,FSI,Financial Secrecy Index
Bouvet Island,BVT,2011,,FSI,Financial Secrecy Index
Botswana,BWA,2011,121.2662673,FSI,Financial Secrecy Index
Central African Republic,CAF,2011,,FSI,Financial Secrecy Index
Canada,CAN,2011,366.1569807,FSI,Financial Secrecy Index
Cocos Islands,CCK,2011,,FSI,Financial Secrecy Index
Switzerland,CHE,2011,1879.215803,FSI,Financial Secrecy Index
Chile,CHL,2011,,FSI,Financial Secrecy Index
China,CHN,2011,,FSI,Financial Secrecy Index
Cote d'Ivoire,CIV,2011,,FSI,Financial Secrecy Index
Cameroon,CMR,2011,,FSI,Financial Secrecy Index
Congo DRC,COD,2011,,FSI,Financial Secrecy Index
"Congo, Rep.",COG,2011,,FSI,Financial Secrecy Index
Cook Islands,COK,2011,13.39634467,FSI,Financial Secrecy Index
Colombia,COL,2011,,FSI,Financial Secrecy Index
Comoros,COM,2011,,FSI,Financial Secrecy Index
Cape Verde,CPV,2011,,FSI,Financial Secrecy Index
Costa Rica,CRI,2011,177.2174434,FSI,Financial Secrecy Index
Cuba,CUB,2011,,FSI,Financial Secrecy Index
Cura�ao,CUW,2011,,FSI,Financial Secrecy Index
Christmas Island,CXR,2011,,FSI,Financial Secrecy Index
Cayman Islands,CYM,2011,1646.67297,FSI,Financial Secrecy Index
Cyprus,CYP,2011,406.5143262,FSI,Financial Secrecy Index
Czechia,CZE,2011,,FSI,Financial Secrecy Index
Germany,DEU,2011,669.7714873,FSI,Financial Secrecy Index
Djibouti,DJI,2011,,FSI,Financial Secrecy Index
Dominica,DMA,2011,12.45284756,FSI,Financial Secrecy Index
Denmark,DNK,2011,121.6806958,FSI,Financial Secrecy Index
Dominican Republic,DOM,2011,,FSI,Financial Secrecy Index
Algeria,DZA,2011,,FSI,Financial Secrecy Index
Ecuador,ECU,2011,,FSI,Financial Secrecy Index
Egypt,EGY,2011,,FSI,Financial Secrecy Index
Eritrea,ERI,2011,,FSI,Financial Secrecy Index
Western Sahara,ESH,2011,,FSI,Financial Secrecy Index
Spain,ESP,2011,98.79348649,FSI,Financial Secrecy Index
Estonia,EST,2011,,FSI,Financial Secrecy Index
Ethiopia,ETH,2011,,FSI,Financial Secrecy Index
Finland,FIN,2011,,FSI,Financial Secrecy Index
Fiji,FJI,2011,,FSI,Financial Secrecy Index
Falkland Islands,FLK,2011,,FSI,Financial Secrecy Index
France,FRA,2011,312.3447133,FSI,Financial Secrecy Index
Faroe Islands,FRO,2011,,FSI,Financial Secrecy Index
Micronesia,FSM,2011,,FSI,Financial Secrecy Index
Gabon,GAB,2011,,FSI,Financial Secrecy Index
United Kingdom,GBR,2011,516.4732436,FSI,Financial Secrecy Index
Georgia,GEO,2011,,FSI,Financial Secrecy Index
Guernsey,GGY,2011,402.3383479,FSI,Financial Secrecy Index
Ghana,GHA,2011,146.8078402,FSI,Financial Secrecy Index
Gibraltar,GIB,2011,174.6427276,FSI,Financial Secrecy Index
Guinea,GIN,2011,,FSI,Financial Secrecy Index
Guadeloupe,GLP,2011,,FSI,Financial Secrecy Index
Gambia,GMB,2011,,FSI,Financial Secrecy Index
Guinea-Bissau,GNB,2011,,FSI,Financial Secrecy Index
Equatorial Guinea,GNQ,2011,,FSI,Financial Secrecy Index
Greece,GRC,2011,,FSI,Financial Secrecy Index
Grenada,GRD,2011,57.60750966,FSI,Financial Secrecy Index
Greenland,GRL,2011,,FSI,Financial Secrecy Index
Guatemala,GTM,2011,174.8035251,FSI,Financial Secrecy Index
French Guiana,GUF,2011,,FSI,Financial Secrecy Index
Guam,GUM,2011,,FSI,Financial Secrecy Index
Guyana,GUY,2011,,FSI,Financial Secrecy Index
Hong Kong,HKG,2011,1370.740769,FSI,Financial Secrecy Index
Heard Island and McDonald Islands,HMD,2011,,FSI,Financial Secrecy Index
Honduras,HND,2011,,FSI,Financial Secrecy Index
Croatia,HRV,2011,,FSI,Financial Secrecy Index
Haiti,HTI,2011,,FSI,Financial Secrecy Index
Hungary,HUN,2011,94.79689408,FSI,Financial Secrecy Index
Indonesia,IDN,2011,,FSI,Financial Secrecy Index
Isle of Man,IMN,2011,230.4174787,FSI,Financial Secrecy Index
India,IND,2011,344.0421554,FSI,Financial Secrecy Index
British Indian Ocean Territory,IOT,2011,,FSI,Financial Secrecy Index
Ireland,IRL,2011,264.2156913,FSI,Financial Secrecy Index
Iran,IRN,2011,,FSI,Financial Secrecy Index
Iraq,IRQ,2011,,FSI,Financial Secrecy Index
Iceland,ISL,2011,,FSI,Financial Secrecy Index
Israel,ISR,2011,230.2969209,FSI,Financial Secrecy Index
Italy,ITA,2011,231.1939797,FSI,Financial Secrecy Index
Jamaica,JAM,2011,,FSI,Financial Secrecy Index
Jersey,JEY,2011,750.1455758,FSI,Financial Secrecy Index
Jordan,JOR,2011,,FSI,Financial Secrecy Index
Japan,JPN,2011,693.6381377,FSI,Financial Secrecy Index
Kazakhstan,KAZ,2011,,FSI,Financial Secrecy Index
Kenya,KEN,2011,,FSI,Financial Secrecy Index
Kyrgyz Republic,KGZ,2011,,FSI,Financial Secrecy Index
Cambodia,KHM,2011,,FSI,Financial Secrecy Index
Kiribati,KIR,2011,,FSI,Financial Secrecy Index
St. Kitts and Nevis,KNA,2011,31.16919967,FSI,Financial Secrecy Index
South Korea,KOR,2011,317.1874912,FSI,Financial Secrecy Index
Kuwait,KWT,2011,,FSI,Financial Secrecy Index
Laos,LAO,2011,,FSI,Financial Secrecy Index
Lebanon,LBN,2011,397.3275649,FSI,Financial Secrecy Index
Liberia,LBR,2011,316.8840234,FSI,Financial Secrecy Index
Libya,LBY,2011,,FSI,Financial Secrecy Index
St. Lucia,LCA,2011,78.7209814,FSI,Financial Secrecy Index
Liechtenstein,LIE,2011,239.214042,FSI,Financial Secrecy Index
Sri Lanka,LKA,2011,,FSI,Financial Secrecy Index
Lesotho,LSO,2011,,FSI,Financial Secrecy Index
Lithuania,LTU,2011,,FSI,Financial Secrecy Index
Luxembourg,LUX,2011,1621.157151,FSI,Financial Secrecy Index
Latvia,LVA,2011,88.8864986,FSI,Financial Secrecy Index
Macao,MAC,2011,389.7947257,FSI,Financial Secrecy Index
St. Martin,MAF,2011,,FSI,Financial Secrecy Index
Morocco,MAR,2011,,FSI,Financial Secrecy Index
Monaco,MCO,2011,37.73045046,FSI,Financial Secrecy Index
Moldova,MDA,2011,,FSI,Financial Secrecy Index
Madagascar,MDG,2011,,FSI,Financial Secrecy Index
Maldives,MDV,2011,78.45620857,FSI,Financial Secrecy Index
Mexico,MEX,2011,,FSI,Financial Secrecy Index
Marshall Islands,MHL,2011,457.0060042,FSI,Financial Secrecy Index
North Macedonia,MKD,2011,,FSI,Financial Secrecy Index
Mali,MLI,2011,,FSI,Financial Secrecy Index
Malta,MLT,2011,98.63070036,FSI,Financial Secrecy Index
Myanmar,MMR,2011,,FSI,Financial Secrecy Index
Montenegro,MNE,2011,,FSI,Financial Secrecy Index
Mongolia,MNG,2011,,FSI,Financial Secrecy Index
Northern Mariana Islands,MNP,2011,,FSI,Financial Secrecy Index
Mozambique,MOZ,2011,,FSI,Financial Secrecy Index
Mauritania,MRT,2011,,FSI,Financial Secrecy Index
Montserrat,MSR,2011,50.1146765,FSI,Financial Secrecy Index
Martinique,MTQ,2011,,FSI,Financial Secrecy Index
Mauritius,MUS,2011,261.5523825,FSI,Financial Secrecy Index
Malawi,MWI,2011,,FSI,Financial Secrecy Index
Malaysia,MYS,2011,319.2789828,FSI,Financial Secrecy Index
Mayotte,MYT,2011,,FSI,Financial Secrecy Index
Namibia,NAM,2011,,FSI,Financial Secrecy Index
New Caledonia,NCL,2011,,FSI,Financial Secrecy Index
Niger,NER,2011,,FSI,Financial Secrecy Index
Norfolk Island,NFK,2011,,FSI,Financial Secrecy Index
Nigeria,NGA,2011,,FSI,Financial Secrecy Index
Nicaragua,NIC,2011,,FSI,Financial Secrecy Index
Niue,NIU,2011,,FSI,Financial Secrecy Index
Netherlands,NLD,2011,199.6975153,FSI,Financial Secrecy Index
Norway,NOR,2011,,FSI,Financial Secrecy Index
Nepal,NPL,2011,,FSI,Financial Secrecy Index
Nauru,NRU,2011,0.0,FSI,Financial Secrecy Index
New Zealand,NZL,2011,,FSI,Financial Secrecy Index
Oman,OMN,2011,,FSI,Financial Secrecy Index
Pakistan,PAK,2011,,FSI,Financial Secrecy Index
Panama,PAN,2011,471.5422459,FSI,Financial Secrecy Index
Pitcairn,PCN,2011,,FSI,Financial Secrecy Index
Peru,PER,2011,,FSI,Financial Secrecy Index
Philippines,PHL,2011,253.9256398,FSI,Financial Secrecy Index
Palau,PLW,2011,,FSI,Financial Secrecy Index
Papua New Guinea,PNG,2011,,FSI,Financial Secrecy Index
Poland,POL,2011,,FSI,Financial Secrecy Index
Puerto Rico,PRI,2011,,FSI,Financial Secrecy Index
North Korea,PRK,2011,,FSI,Financial Secrecy Index
Portugal,PRT,2011,119.3885608,FSI,Financial Secrecy Index
Paraguay,PRY,2011,,FSI,Financial Secrecy Index
Palestine,PSE,2011,,FSI,Financial Secrecy Index
French Polynesia,PYF,2011,,FSI,Financial Secrecy Index
Qatar,QAT,2011,,FSI,Financial Secrecy Index
Reunion,REU,2011,,FSI,Financial Secrecy Index
Romania,ROU,2011,,FSI,Financial Secrecy Index
Russia,RUS,2011,,FSI,Financial Secrecy Index
Rwanda,RWA,2011,,FSI,Financial Secrecy Index
Saudi Arabia,SAU,2011,,FSI,Financial Secrecy Index
Sudan,SDN,2011,,FSI,Financial Secrecy Index
Senegal,SEN,2011,,FSI,Financial Secrecy Index
Singapore,SGP,2011,1117.958613,FSI,Financial Secrecy Index
South Georgia and the South Sandwich Islands,SGS,2011,,FSI,Financial Secrecy Index
Saint Helena,SHN,2011,,FSI,Financial Secrecy Index
Svalbard and Jan Mayen Islands,SJM,2011,,FSI,Financial Secrecy Index
Solomon Islands,SLB,2011,,FSI,Financial Secrecy Index
Sierra Leone,SLE,2011,,FSI,Financial Secrecy Index
El Salvador,SLV,2011,,FSI,Financial Secrecy Index
San Marino,SMR,2011,30.86461955,FSI,Financial Secrecy Index
Somalia,SOM,2011,,FSI,Financial Secrecy Index
St. Pierre and Miquelon,SPM,2011,,FSI,Financial Secrecy Index
Serbia,SRB,2011,,FSI,Financial Secrecy Index
South Sudan,SSD,2011,,FSI,Financial Secrecy Index
Sao Tome and Principe,STP,2011,,FSI,Financial Secrecy Index
Suriname,SUR,2011,,FSI,Financial Secrecy Index
Slovakia,SVK,2011,,FSI,Financial Secrecy Index
Slovenia,SVN,2011,,FSI,Financial Secrecy Index
Sweden,SWE,2011,,FSI,Financial Secrecy Index
Eswatini,SWZ,2011,,FSI,Financial Secrecy Index
Sint Maarten,SXM,2011,,FSI,Financial Secrecy Index
Seychelles,SYC,2011,95.01644304,FSI,Financial Secrecy Index
Syria,SYR,2011,,FSI,Financial Secrecy Index
Turks and Caicos Islands,TCA,2011,218.8583265,FSI,Financial Secrecy Index
Chad,TCD,2011,,FSI,Financial Secrecy Index
Togo,TGO,2011,,FSI,Financial Secrecy Index
Thailand,THA,2011,,FSI,Financial Secrecy Index
Tajikistan,TJK,2011,,FSI,Financial Secrecy Index
Tokelau,TKL,2011,,FSI,Financial Secrecy Index
Turkmenistan,TKM,2011,,FSI,Financial Secrecy Index
Timor-Leste,TLS,2011,,FSI,Financial Secrecy Index
Tonga,TON,2011,,FSI,Financial Secrecy Index
Trinidad and Tobago,TTO,2011,,FSI,Financial Secrecy Index
Tunisia,TUN,2011,,FSI,Financial Secrecy Index
Turkey,TUR,2011,,FSI,Financial Secrecy Index
Tuvalu,TUV,2011,,FSI,Financial Secrecy Index
Taiwan,TWN,2011,,FSI,Financial Secrecy Index
Tanzania,TZA,2011,,FSI,Financial Secrecy Index
Uganda,UGA,2011,,FSI,Financial Secrecy Index
Ukraine,UKR,2011,,FSI,Financial Secrecy Index
United States Minor Outlying Islands,UMI,2011,,FSI,Financial Secrecy Index
Uruguay,URY,2011,331.0032555,FSI,Financial Secrecy Index
United States,USA,2011,1160.059104,FSI,Financial Secrecy Index
Uzbekistan,UZB,2011,,FSI,Financial Secrecy Index
Vatican,VAT,2011,,FSI,Financial Secrecy Index
St. Vincent & Grenadines,VCT,2011,100.9028576,FSI,Financial Secrecy Index
Venezuela,VEN,2011,,FSI,Financial Secrecy Index
British Virgin Islands,VGB,2011,617.8850568,FSI,Financial Secrecy Index
US Virgin Islands,VIR,2011,104.24046,FSI,Financial Secrecy Index
Vietnam,VNM,2011,,FSI,Financial Secrecy Index
Vanuatu,VUT,2011,14.32583422,FSI,Financial Secrecy Index
Wallis and Futuna Islands,WLF,2011,,FSI,Financial Secrecy Index
Samoa,WSM,2011,27.50107447,FSI,Financial Secrecy Index
,XKX,2011,,FSI,Financial Secrecy Index
Yemen,YEM,2011,,FSI,Financial Secrecy Index
South Africa,ZAF,2011,,FSI,Financial Secrecy Index
Zambia,ZMB,2011,,FSI,Financial Secrecy Index
Zimbabwe,ZWE,2011,,FSI,Financial Secrecy Index
Aruba,ABW,2013,113.3252,FSI,Financial Secrecy Index
Afghanistan,AFG,2013,,FSI,Financial Secrecy Index
Angola,AGO,2013,,FSI,Financial Secrecy Index
Anguilla,AIA,2013,96.76443,FSI,Financial Secrecy Index
Albania,ALB,2013,,FSI,Financial Secrecy Index
Andorra,AND,2013,43.37763,FSI,Financial Secrecy Index
Netherlands Antilles,ANT,2013,,FSI,Financial Secrecy Index
United Arab Emirates,ARE,2013,419.0078,FSI,Financial Secrecy Index
Argentina,ARG,2013,,FSI,Financial Secrecy Index
Armenia,ARM,2013,,FSI,Financial Secrecy Index
American Samoa,ASM,2013,,FSI,Financial Secrecy Index
French Southern Territories,ATF,2013,,FSI,Financial Secrecy Index
Antigua and Barbuda,ATG,2013,60.47441,FSI,Financial Secrecy Index
Australia,AUS,2013,168.1538,FSI,Financial Secrecy Index
Austria,AUT,2013,400.8232,FSI,Financial Secrecy Index
Azerbaijan,AZE,2013,,FSI,Financial Secrecy Index
Burundi,BDI,2013,,FSI,Financial Secrecy Index
Belgium,BEL,2013,199.2665,FSI,Financial Secrecy Index
Benin,BEN,2013,,FSI,Financial Secrecy Index
"Bonaire, Sint Eustatius and Saba",BES,2013,,FSI,Financial Secrecy Index
Burkina Faso,BFA,2013,,FSI,Financial Secrecy Index
Bangladesh,BGD,2013,,FSI,Financial Secrecy Index
Bulgaria,BGR,2013,,FSI,Financial Secrecy Index
Bahrain,BHR,2013,461.1659,FSI,Financial Secrecy Index
Bahamas,BHS,2013,226.8748,FSI,Financial Secrecy Index
Bosnia and Herzegovina,BIH,2013,,FSI,Financial Secrecy Index
Belarus,BLR,2013,,FSI,Financial Secrecy Index
Belize,BLZ,2013,129.8344,FSI,Financial Secrecy Index
Bermuda,BMU,2013,432.3802,FSI,Financial Secrecy Index
Bolivia,BOL,2013,,FSI,Financial Secrecy Index
Brazil,BRA,2013,283.9142,FSI,Financial Secrecy Index
Barbados,BRB,2013,317.4745,FSI,Financial Secrecy Index
Brunei,BRN,2013,50.63406,FSI,Financial Secrecy Index
Bhutan,BTN,2013,,FSI,Financial Secrecy Index
Bouvet Island,BVT,2013,,FSI,Financial Secrecy Index
Botswana,BWA,2013,98.99626,FSI,Financial Secrecy Index
Central African Republic,CAF,2013,,FSI,Financial Secrecy Index
Canada,CAN,2013,418.5234,FSI,Financial Secrecy Index
Cocos Islands,CCK,2013,,FSI,Financial Secrecy Index
Switzerland,CHE,2013,1765.25,FSI,Financial Secrecy Index
Chile,CHL,2013,,FSI,Financial Secrecy Index
China,CHN,2013,,FSI,Financial Secrecy Index
Cote d'Ivoire,CIV,2013,,FSI,Financial Secrecy Index
Cameroon,CMR,2013,,FSI,Financial Secrecy Index
Congo DRC,COD,2013,,FSI,Financial Secrecy Index
"Congo, Rep.",COG,2013,,FSI,Financial Secrecy Index
Cook Islands,COK,2013,25.26854,FSI,Financial Secrecy Index
Colombia,COL,2013,,FSI,Financial Secrecy Index
Comoros,COM,2013,,FSI,Financial Secrecy Index
