economy,Year,Value,Indicator,IndicatorID
AGO,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BDI,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BEN,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BFA,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BWA,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CAF,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CIV,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CMR,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
COD,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
COG,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
COM,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CPV,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
DJI,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
DZA,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
EGY,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ERI,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ETH,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GAB,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GHA,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GIN,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GMB,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GNB,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GNQ,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
KEN,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LBR,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LBY,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LSO,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MAR,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MDG,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MLI,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MOZ,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MRT,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MUS,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MWI,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NAM,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NER,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NGA,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
RWA,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SDN,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SEN,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SLE,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SOM,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SSD,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
STP,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SWZ,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SYC,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TCD,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TGO,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TUN,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TZA,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
UGA,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ZAF,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ZMB,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ZWE,1960,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
AGO,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BDI,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BEN,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
