country,year,value,indicator code,indicator description
"Afghanistan, Islamic Republic of",2018,0.6156028503502177,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Albania,2018,3.0172019724699872,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Angola,2018,37.29784699906601,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Antigua and Barbuda,2018,17.057249041998034,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Argentina,2018,15.117365327209455,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Armenia, Republic of",2018,54.184171462840325,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Aruba,2018,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Australia,2018,168.4511051139399,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Austria,2018,139.72776309203684,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Azerbaijan, Republic of",2018,0.10673467515751418,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Bangladesh,2018,5.161465790745469,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Barbados,2018,50.63735273289126,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Belarus,2018,4.279925878367609,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Belgium,2018,139.8759900285908,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Belize,2018,40.98967386924839,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Benin,2018,0.043448052862581264,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Bhutan,2018,16.305464050892894,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Bolivia,2018,1.2746359590971423,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Bosnia and Herzegovina,2018,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Botswana,2018,25.89777577451475,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Brazil,2018,27.288455489296553,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Brunei Darussalam,2018,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Bulgaria,2018,94.26251580046366,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Burkina Faso,2018,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
